X,Y,index,index_target,acres,shape_area,label,shape_leng,nbrdesc,color_2,nonres_status
-76.5438789945355,39.2034228114754,1261,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5428840983607,39.2034228114754,1262,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5418892021858,39.2034228114754,1263,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5408943060109,39.2034228114754,1264,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5717360874317,39.2043790901639,1415,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5707411912568,39.2043790901639,1416,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5697462950819,39.2043790901639,1417,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5687513989071,39.2043790901639,1418,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5677565027322,39.2043790901639,1419,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5667616065574,39.2043790901639,1420,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5657667103825,39.2043790901639,1421,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5647718142076,39.2043790901639,1422,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5637769180328,39.2043790901639,1423,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5627820218579,39.2043790901639,1424,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5617871256831,39.2043790901639,1425,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
